topic,date,userid,post
type of bearing failure.,2019-08-15T20:53:31,BFRAN21,"this bearing came out of a belt drive toyo pump. vibrations were showing BSF with sidebands of FTF, gSE spectrum shows it the best. I was hesitant to make the call for this reason since it wasn't showing to much in the velocity spectrums. not sure if it was to early to make the call or not? would this be an example of bearing skewing or smearing?"
type of bearing failure.,2019-08-18T11:42:18,DAVE REYNOLDS,"Contaminants in the lubrication is my 2 cents
https://www.schaeffler.com/rem...g_failures_us_en.pdf
Dave"
type of bearing failure.,2019-08-22T14:57:40,AZIZ58,"bfran21 posted:
this bearing came out of a belt drive toyo pump. vibrations were showing BSF with sidebands of FTF, gSE spectrum shows it the best. I was hesitant to make the call for this reason since it wasn't showing to much in the velocity spectrums. not sure if it was to early to make the call or not? would this be an example of bearing skewing or smearing?
This sign of smearing 
According to iso 15243 resulting by poor lubrication and light load"
Bearing current damage on NDE bearing due to bearing current,2016-07-08T09:15:25,ABHI03,"Dear Friends,
We have one case where for Mill motors in Sugar industry, the bearings are repeatedly failing due to bearing current (Fluting Marks). The NDE side bearing is a insulated bearing though. After last failure incident we have changed the bearings (DE non insulated and NDE insulated). We have also installed Carbon/Grounding brush on DE shaft end out side the end cover. Also the earthing is checked. However again in this season only after operating for 4 months bearings have failed. 
Can you guide me for identifying reason behind and with corrective actions.
Thanks and regards
Abhijit"
Bearing current damage on NDE bearing due to bearing current,2016-07-11T15:52:54,WHITE WALKER,would u please post the spectrum.how current passes to shaft and bearing and how to avoid it.firsttime i seeing this problem.
Bearing current damage on NDE bearing due to bearing current,2016-08-29T22:29:47,"""CHUCK BLACKETT""","When ever I have experienced bearings failing from current, the first thing I do is upgrade to ceramic rolling elements in the bearing if possible. It is a no hassle sure fix in most applications, and usually for a cost not that significantly higher than complete steel bearings. Bonus, the hybrid steel and ceramic bearing will also have a longer running life. I have never had luck with shaft grounding brushes. Do you have photos of the bearing races, are you sure it is current damage?"
Bearing current damage on NDE bearing due to bearing current,2016-09-01T07:51:11,DBTCMP,"Consider a Conductive Grease such as Kluber electric which has graphite in the grease and allows the current go to ground safely http://www.vibescorp.ca/pdf/Kl...ric_BE_44_152-en.pdf
You may also find the following interesting.
http://ecmweb.com/motors/diagn...tor-bearing-currents"
Bearing current damage on NDE bearing due to bearing current,2016-09-01T11:06:12,ABHI03,Thank you Chuck. We are looking for a solution with current bearings. 
Bearing current damage on NDE bearing due to bearing current,2016-09-01T11:07:30,ABHI03,"Thaank you..
 "
Bearing current damage on NDE bearing due to bearing current,2016-09-09T18:52:10,"""CHUCK BLACKETT""","Hi ABHI03,
Sorry for the delay - I was traveling. It is quite clear that the bearing is having an issue with current arcing from that photo. I would go for the grease, or better the ceramic rolling element bearings. The pump OEM that I use to work for switched over to ceramic rolling elements as standard considering the move by the industry to favor VFD solutions. The use of a VFD can increase stray currents and cause problems that otherwise would not have existed. "
Bearing current damage on NDE bearing due to bearing current,2016-09-20T12:56:56,ABHI03,"Thansk Chuck..
 "
Bearing current damage on NDE bearing due to bearing current,2016-09-26T18:41:44,SOUNDHOUND,I'd like to add that it's important to make sure when insulating both motor bearings that the driven equipment is insulated from motor. Our company had an instance where preventing another $2K motor rebuild caused a $30K gearbox rebuild because coupling was a metal grid and current went to gearbox bearings.
Bearing current damage on NDE bearing due to bearing current,2016-09-30T15:53:09,DAVE REYNOLDS,"I too would like to add some additional experience....Motor 450HP 900RPM 480Volt 3 phase with insulated shafts on both ends, intermittent duty, megged over 1000megs between bare shaft and insulating material on both ends, shaft grounding ring, both bearings have oil not grease and still have electrical fluting. The suspected root cause is the cables from the VFD to the motor not having proper shielding. Had over 300 volts from the rotating shaft to ground!
Best to measure/test to better determine where the fault lies and put a plan in place once the faults have been determined/verified. Could also be inductance from cables lying next to one another in a cable tray, earth ground is weak or broken, rust/dirt between machine and foundation not allowing a good ground to name a few I have ran across in the past
Dave"
Bearing current damage on NDE bearing due to bearing current,2016-09-30T17:17:07,SOUNDHOUND,Good point. We experienced fluting to varying degrees on 9 75hp Extruder motors. Installed a couple of ground rings and then had a rep from ring manufacturer test our motors and he showed we still had problem due to bad ground. Inspection found some ground lugs weren't tight but after fix we still had shaft voltages so all motors got rings. I check voltage levels every 3 months and shafts have to be cleaned regularly due to dirty environment. 1 motor has ring mounted internally but I worry about grease pushing past bearing onto ring.
Bearing current damage on NDE bearing due to bearing current,2019-08-19T18:53:05,SAM THE GROUNDING MAN,"First time on this blog and I see these postings are a few years old, but here goes it anyway:
I reviewed the pictures and agree you are experiencing electrically induced bearing failure.  Incidence rates of bearing failure on VFD motors is at least 60% by 2 years and only continues to climb from there.  It is a well-accepted and pervasive problem that particularly plagues operations that run 24/7.  The following information is based on long-term field and lab studies over 30 years.
1) Capacitive discharge through the bearing is a local event caused by the VFD gated mechanism switching on and off.   VFD brands, altering the carrier frequency, installing induction absorbers on the wiring, shunts, conductive grease, etc. are not a fix for this phenomenon.  A shaft grounding device is the only known way to economically eliminate capacitive discharge through the bearing.
2)  Circulating currents can be present on larger framed motors and are inherent to the motor.  This is different than capacitive coupling as described above under #1.  Our field research has shown that motors 100-200hp and with rpm <=1200 or motors >=200hp regardless of rpm are susceptible to circulating currents.  Incident rates of circulating currents being present is 25-35% for the motor parameters described above.  Insulated bearings will not take care of circulating currents as the current will find a parallel pathway and take out bearings in connected equipment.  A typical set-up to deal with circulating currents is to either provide shaft grounding on both ends of the motor or use an insulated bearing on the non-drive end and a drive end shaft grounding system to break the current loop.
3)  Not all shaft grounding devices are equal.  It is certainly confusing with the different available products on the market.   The following are key principals that cannot be ignored while researching shaft grounding products.  Always have these concepts and questions at the forefront of your mind when researching shaft grounding options:
The grounding system MUST be a better competitor to the bearing for grounding the voltage/current away from the bearing.  While most shaft grounding systems lower shaft voltages right out of the box, not all shaft grounding systems lower voltages below the threshold to prevent current flow through the dielectric (bearing grease) then onto the bearing.  Moreover, most shaft grounding systems cannot maintain for the long-term voltages below the known threshold.  One major manufacturer of shaft grounding rings (SGRs) was asked the question during a webinar ""how do you know the grounding system is working?"" and their response was if the shaft voltage readings are below 10v, then the grounding system is working.  Problem with that response is shaft voltages needs to be much lower than 10v to prevent breakover through the bearing grease.  While 10v will certainly slow down electrically induced bearing damage, it will not eliminate the problem.  We've extensively lab tested the above referenced shaft grounding products and found that out of the box, the shaft grounding ring drops shaft voltages from ~30v peak-to-peak (no shaft grounding) down to 5-7v peak-to-peak.  Even the 5-7v peak-to-peak isn't low enough to prevent dielectric breakover.  As our test motors ran 24/7, the 5-7v creeped up to ~15-17v after just over a year of continuous operation.  These results are better than no shaft grounding, however, the test motors' bearings fluted after 3 years of operation; far less than the motors service life.  
In short, don't be afraid to asked the following questions.  They will cut to the core of how a shaft grounding system performs: 1) what shaft voltages does the shaft grounding system achieve?  2) how does the system maintain the shaft voltages below that threshold known to cause breakover through the bearing grease? 3)  If the environment is dirty, then how does the shaft grounding system ensure a path of least resistance for current to flow away from the bearing?  It doesn't take a lot of contamination to negatively impact shaft grounding performance.  
I hope this information is helpful.  Feel free to let me know if you have any follow-up questions. 
Sam P.
www.shaftgroundingsystems.com
 "
Is Bearing having fluting marks?,2017-06-01T05:33:44,TUSHAR000001,"Since last one month we observed rise in high frequency component at motor NDE brg. of PA Fan motor (NDE has got 2 brgs.  NU230  & 6830 ).Sound from bearing had increased.We are using emerson CSI 2130 .Spectrum showed high frequency component between 1to 20khz  around 26Gse which got reduced after greasing to 15 gse but within 1 day again increased back. Overall vibration increased to 15mm/sec (zero to peak). In peakvue with 2k hz filter , BPFO peaks were visible (peakvue value around 18). When sound increased from NDE brg. even more ,motor was replaced. Now i am posting NDE side NU 230 Inner race photos and DE side NU230 photos also ,please confirm the bearing defect."
Is Bearing having fluting marks?,2017-06-02T04:10:34,TUSHAR000001,innner race of NU230 Brg. in zoom view.
Is Bearing having fluting marks?,2017-06-02T16:31:45,BEATNIK,"Yes, that's textbook fluting.
 There have been many good discussions here about it over the years: https://www.maintenance.org/top...63202347#77420702863"
